id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
1,Apartemen Sudirman A,Jakarta Barat,Studio,26.9,2990000,"Akses Kartu, Gym, Laundry",1.76,3.4
2,Residence Menteng C,Jakarta Selatan,1BR,40.2,6740000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",5.45,3.2
3,Suites Senayan II,Tangerang,Studio,22.3,3190000,"Akses Kartu, Gym, Minimarket",3.25,3.6
4,Suites Alam Sutera B,Depok,1BR,40.0,3610000,"Akses Kartu, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",2.81,3.7
5,Kost Eksklusif Kelapa Gading C,Jakarta Timur,2BR,64.6,9390000,"Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",0.95,4.7
6,Residence Pluit B,Jakarta Selatan,1BR,42.0,8760000,"Furnished, Laundry, Minimarket, Parkir, Taman Bermain",0.89,3.5
7,Apartemen Casablanca B,Jakarta Utara,3BR,123.4,10200000,"Akses Kartu, Gym, Laundry, Minimarket",2.71,4.3
8,Tower Margonda A,Tangerang,Studio,22.6,3690000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang",5.67,3.6
9,Kost Eksklusif Royal Mediterania B,Jakarta Pusat,3BR,65.2,17170000,"AC, Akses Kartu, Gym, Laundry",11.67,3.3
10,Apartemen Tebet A,Jakarta Pusat,Studio,25.2,4250000,"AC, Akses Kartu, Kolam Renang, Parkir, Taman Bermain",4.42,5.0
11,Tower Pondok Indah II,Jakarta Pusat,1BR,39.2,7230000,"Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",6.38,3.9
12,Apartemen Kemang C,Jakarta Timur,1BR,29.1,3550000,"Akses Kartu, Gym, Kolam Renang, Taman Bermain",6.69,3.1
13,Suites Alam Sutera I,Jakarta Timur,2BR,63.4,5860000,"Furnished, Gym, Kolam Renang, Laundry, Minimarket, Parkir",1.67,3.8
14,Suites Kuningan C,Jakarta Selatan,Studio,18.7,5380000,"Akses Kartu, Gym, Minimarket, Parkir",1.4,3.9
15,Suites Tebet I,Jakarta Barat,3BR,117.5,13850000,"Gym, Keamanan 24 Jam, Parkir",1.27,3.4
16,Residence Kemang II,Tangerang,Studio,20.0,2500000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Minimarket",4.75,4.5
17,Residence Senayan II,Jakarta Selatan,2BR,42.0,9540000,"Akses Kartu, Gym, Kolam Renang, Laundry",10.25,3.1
18,Kost Eksklusif Green Bay II,Jakarta Timur,3BR,72.8,14120000,"Gym, Laundry, Taman Bermain",3.03,3.6
19,Apartemen Sudirman I,Jakarta Utara,1BR,39.4,4290000,"AC, Furnished, Laundry, Minimarket",3.26,4.2
20,Suites Permata C,Jakarta Barat,Studio,24.5,3510000,"Furnished, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",1.68,4.2
21,Tower Royal Mediterania B,Jakarta Selatan,2BR,72.6,7450000,"AC, Akses Kartu, Keamanan 24 Jam",3.25,4.4
22,Apartemen Sudirman C,Jakarta Timur,2BR,57.7,6000000,"AC, Gym, Laundry",10.91,4.5
23,Kost Eksklusif Kemang C,Jakarta Utara,1BR,40.6,4880000,"Gym, Keamanan 24 Jam, Taman Bermain",5.19,4.2
24,Apartemen Alam Sutera II,Jakarta Pusat,3BR,73.3,13060000,"Akses Kartu, Furnished, Parkir",9.57,4.8
25,Tower Grand Galaxy B,Tangerang,1BR,43.7,4090000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry",2.03,3.5
26,Suites Margonda C,Jakarta Barat,3BR,121.7,13870000,"AC, Furnished, Gym, Kolam Renang, Laundry, Parkir",2.75,4.7
27,Tower Kemang A,Jakarta Utara,2BR,62.5,6600000,"AC, Akses Kartu, Gym, Kolam Renang, Minimarket",11.78,4.2
28,Kost Eksklusif Permata B,Depok,2BR,55.3,8940000,"AC, Akses Kartu, Kolam Renang, Laundry",1.48,3.7
29,Tower Permata B,Jakarta Barat,2BR,61.8,7650000,"AC, Akses Kartu, Keamanan 24 Jam, Laundry, Parkir",1.58,3.4
30,Suites Green Bay II,Tangerang,1BR,38.5,4250000,"AC, Parkir, Taman Bermain",6.62,4.3
31,Residence Cervino B,Bekasi,3BR,93.7,8710000,"AC, Furnished, Gym, Kolam Renang",5.73,4.6
32,Residence Sudirman A,Jakarta Pusat,Studio,18.6,5910000,"Akses Kartu, Gym, Laundry, Minimarket, Parkir, Taman Bermain",9.25,4.6
33,Suites Cikini II,Jakarta Timur,1BR,41.7,5240000,"Gym, Keamanan 24 Jam, Laundry, Minimarket",5.63,4.2
34,Kost Eksklusif Tebet B,Bekasi,3BR,119.0,11380000,"AC, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Parkir",10.78,3.5
35,Suites Thamrin B,Jakarta Barat,2BR,48.2,6340000,"Keamanan 24 Jam, Parkir, Taman Bermain",10.73,3.1
36,Tower Bintaro I,Tangerang,2BR,59.0,6660000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir, Taman Bermain",2.56,4.1
37,Suites Green Bay II,Jakarta Timur,3BR,79.3,12410000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Taman Bermain",0.45,4.3
38,Suites Pluit I,Jakarta Barat,3BR,73.8,12700000,"Akses Kartu, Furnished, Laundry, Minimarket",0.7,3.5
39,Residence Menteng A,Jakarta Barat,3BR,66.3,11320000,"Gym, Kolam Renang, Laundry, Minimarket, Parkir",12.0,4.2
40,Residence Cervino A,Jakarta Timur,1BR,36.1,3790000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",11.38,4.2
41,Kost Eksklusif Kemang C,Jakarta Utara,3BR,90.8,12720000,"AC, Gym, Laundry, Taman Bermain",1.0,4.1
42,Suites Kuningan II,Depok,Studio,24.1,3180000,"Furnished, Gym, Laundry, Minimarket, Parkir, Taman Bermain",10.21,4.9
43,Suites Green Bay II,Jakarta Utara,3BR,95.2,13610000,"AC, Akses Kartu, Gym, Parkir, Taman Bermain",7.15,4.3
44,Tower Permata A,Depok,Studio,23.9,3150000,"AC, Akses Kartu, Furnished, Minimarket, Taman Bermain",5.9,4.0
45,Apartemen Senayan C,Jakarta Timur,Studio,20.9,3310000,"Akses Kartu, Laundry, Minimarket, Taman Bermain",6.71,3.4
46,Suites Pluit C,Jakarta Timur,2BR,63.2,6480000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Minimarket",6.69,3.5
47,Kost Eksklusif Cikini II,Jakarta Barat,1BR,33.4,5360000,"Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",11.42,3.6
48,Tower Thamrin I,Jakarta Barat,1BR,33.0,4400000,"AC, Akses Kartu, Kolam Renang, Taman Bermain",3.7,3.2
49,Apartemen Thamrin B,Jakarta Selatan,2BR,56.4,10410000,"AC, Gym, Kolam Renang, Laundry, Parkir, Taman Bermain",0.71,4.6
50,Tower Green Bay I,Jakarta Utara,Studio,29.9,2740000,"Akses Kartu, Laundry, Minimarket, Parkir",9.2,3.6
51,Apartemen Grand Galaxy I,Jakarta Selatan,Studio,29.4,3620000,"Gym, Keamanan 24 Jam, Minimarket, Parkir",7.96,4.4
52,Residence Grand Galaxy A,Bekasi,2BR,41.1,6150000,"AC, Furnished, Gym, Laundry, Minimarket, Parkir",3.46,4.1
53,Suites Pluit II,Jakarta Pusat,2BR,68.9,6520000,"Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",3.76,4.1
54,Kost Eksklusif Sudirman C,Bekasi,Studio,25.2,4280000,"AC, Furnished, Gym, Kolam Renang, Parkir",8.84,4.2
55,Tower Casablanca B,Jakarta Pusat,3BR,98.7,13230000,"Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",11.96,3.7
56,Tower Margonda A,Bekasi,2BR,63.2,6600000,"Furnished, Gym, Minimarket",9.15,4.9
57,Suites Kemang B,Tangerang,Studio,25.9,3590000,"Akses Kartu, Furnished, Minimarket, Taman Bermain",5.02,3.5
58,Suites Senayan B,Jakarta Pusat,2BR,55.3,9540000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang",11.68,5.0
59,Suites Kelapa Gading I,Jakarta Barat,3BR,126.6,12180000,"AC, Akses Kartu, Laundry, Minimarket, Parkir",1.93,4.1
60,Kost Eksklusif Pluit A,Tangerang,1BR,43.7,4770000,"AC, Furnished, Laundry",10.56,3.6
61,Residence Kelapa Gading II,Jakarta Utara,3BR,121.2,10570000,"Akses Kartu, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",5.86,3.8
62,Kost Eksklusif Margonda A,Tangerang,Studio,21.8,3450000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",10.97,4.7
63,Kost Eksklusif Bintaro A,Bekasi,Studio,24.3,3410000,"Furnished, Gym, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",8.7,4.7
64,Tower Kelapa Gading A,Tangerang,2BR,61.9,8550000,"Gym, Parkir, Taman Bermain",5.91,3.9
65,Tower Alam Sutera I,Jakarta Barat,Studio,23.3,3890000,"AC, Furnished, Kolam Renang",10.85,3.3
66,Tower Pondok Indah C,Tangerang,1BR,30.9,3700000,"Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",10.46,4.3
67,Suites Cervino B,Bekasi,2BR,63.7,5630000,"AC, Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",5.36,5.0
68,Apartemen Royal Mediterania I,Bekasi,Studio,20.8,3640000,"AC, Kolam Renang, Laundry, Minimarket, Taman Bermain",6.94,4.7
69,Apartemen Green Bay C,Jakarta Utara,1BR,38.3,4380000,"Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",7.68,4.5
70,Tower Tebet C,Jakarta Barat,2BR,51.4,6660000,"AC, Akses Kartu, Gym, Laundry, Taman Bermain",2.49,4.5
71,Suites Sudirman C,Depok,Studio,23.6,2650000,"Akses Kartu, Furnished, Kolam Renang, Laundry",9.07,4.1
72,Kost Eksklusif Margonda II,Bekasi,2BR,63.5,7690000,"AC, Gym, Kolam Renang, Minimarket, Parkir",7.06,3.4
73,Apartemen Casablanca B,Jakarta Barat,3BR,124.1,9420000,"AC, Kolam Renang, Parkir, Taman Bermain",4.96,4.8
74,Kost Eksklusif Grand Galaxy C,Jakarta Pusat,3BR,94.5,16670000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir, Taman Bermain",11.36,3.1
75,Apartemen Bintaro C,Depok,1BR,35.5,5880000,"Akses Kartu, Furnished, Taman Bermain",10.28,3.4
76,Residence Green Bay B,Jakarta Barat,3BR,71.0,8700000,"Furnished, Kolam Renang, Parkir",7.71,3.1
77,Kost Eksklusif Pluit B,Jakarta Timur,1BR,41.8,4080000,"AC, Akses Kartu, Keamanan 24 Jam",9.31,3.2
78,Suites Cikini A,Jakarta Selatan,1BR,28.3,6830000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang",3.95,4.5
79,Apartemen Kemang I,Bekasi,3BR,115.6,11110000,"AC, Kolam Renang, Parkir, Taman Bermain",1.4,4.7
80,Kost Eksklusif Permata C,Tangerang,Studio,23.9,5000000,"AC, Gym, Keamanan 24 Jam, Minimarket",0.97,3.8
81,Suites Kelapa Gading I,Jakarta Utara,3BR,97.9,10440000,"Akses Kartu, Laundry, Parkir",9.54,3.7
82,Apartemen Senayan I,Bekasi,3BR,92.0,7760000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",5.18,3.2
83,Suites Kemang C,Depok,1BR,37.5,4970000,"Akses Kartu, Furnished, Gym, Laundry, Minimarket",6.78,4.2
84,Tower Green Bay B,Depok,Studio,24.9,2930000,"Akses Kartu, Furnished, Gym, Kolam Renang",7.92,4.6
85,Suites Senayan B,Jakarta Selatan,2BR,41.0,8240000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang",11.07,4.5
86,Residence Royal Mediterania A,Jakarta Selatan,Studio,27.0,3760000,"AC, Furnished, Gym, Kolam Renang, Minimarket",4.16,4.3
87,Apartemen Cervino II,Jakarta Utara,3BR,108.0,10890000,"Akses Kartu, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",5.36,4.0
88,Apartemen Sudirman I,Jakarta Utara,Studio,20.6,5230000,"AC, Akses Kartu, Keamanan 24 Jam, Taman Bermain",0.75,4.5
89,Suites Senayan C,Jakarta Pusat,1BR,34.5,6840000,"Gym, Kolam Renang, Laundry, Minimarket, Parkir",10.02,4.2
90,Suites Casablanca B,Tangerang,3BR,83.8,10240000,"Furnished, Kolam Renang, Minimarket, Taman Bermain",11.6,3.9
91,Residence Alam Sutera C,Tangerang,Studio,22.7,3120000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry",4.14,4.5
92,Kost Eksklusif Green Bay I,Jakarta Pusat,1BR,29.7,5110000,"Akses Kartu, Keamanan 24 Jam, Minimarket",1.92,4.4
93,Tower Pondok Indah I,Depok,2BR,45.3,5270000,"AC, Akses Kartu, Furnished, Kolam Renang, Taman Bermain",5.36,3.1
94,Tower Royal Mediterania I,Depok,2BR,42.7,8460000,"AC, Akses Kartu, Gym, Kolam Renang, Minimarket, Parkir",10.28,4.0
95,Kost Eksklusif Cikini II,Jakarta Selatan,3BR,71.7,18010000,"Akses Kartu, Kolam Renang, Minimarket, Parkir",8.6,3.3
96,Apartemen Permata I,Depok,2BR,53.6,8100000,"Furnished, Gym, Taman Bermain",8.18,3.6
97,Residence Cikini A,Jakarta Pusat,2BR,42.9,10590000,"AC, Gym, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",3.79,4.3
98,Apartemen Cervino A,Tangerang,2BR,40.6,6240000,"Akses Kartu, Gym, Laundry, Minimarket, Parkir",11.42,4.0
99,Suites Alam Sutera B,Jakarta Selatan,2BR,70.7,9860000,"Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",1.94,4.9
100,Kost Eksklusif Cikini I,Jakarta Utara,3BR,80.2,8910000,"Furnished, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",11.59,4.9
101,Residence Pluit I,Jakarta Timur,1BR,42.8,3630000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Taman Bermain",5.82,4.8
102,Kost Eksklusif Alam Sutera B,Jakarta Pusat,3BR,71.0,19470000,"Kolam Renang, Laundry, Taman Bermain",10.63,3.8
103,Residence Tebet I,Jakarta Barat,2BR,47.9,6270000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",1.28,4.2
104,Residence Grand Galaxy II,Jakarta Barat,Studio,21.1,4170000,"AC, Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Parkir",6.63,3.9
105,Kost Eksklusif Alam Sutera B,Jakarta Barat,3BR,103.8,7130000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry",6.23,4.1
106,Suites Alam Sutera C,Jakarta Pusat,Studio,24.3,4480000,"Kolam Renang, Laundry, Minimarket",6.57,4.5
107,Residence Pondok Indah I,Depok,Studio,22.1,3970000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Taman Bermain",7.58,4.3
108,Suites Permata I,Jakarta Pusat,Studio,26.6,5300000,"AC, Furnished, Kolam Renang, Minimarket",2.5,3.5
109,Suites Bintaro C,Jakarta Timur,2BR,52.5,8120000,"AC, Furnished, Gym, Laundry, Parkir",10.4,4.9
110,Kost Eksklusif Kuningan II,Bekasi,3BR,88.9,13380000,"Gym, Laundry, Taman Bermain",3.27,3.6
111,Kost Eksklusif Grand Galaxy C,Jakarta Barat,Studio,21.9,3090000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",5.41,4.3
112,Residence Senayan B,Jakarta Selatan,Studio,26.1,4310000,"Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",9.02,4.6
113,Residence Cikini C,Depok,2BR,53.4,7270000,"AC, Furnished, Kolam Renang, Laundry, Minimarket, Taman Bermain",7.3,3.8
114,Residence Royal Mediterania C,Jakarta Utara,1BR,44.3,3560000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir",2.31,4.4
115,Kost Eksklusif Cervino C,Bekasi,1BR,30.1,5630000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Minimarket",5.48,4.7
116,Kost Eksklusif Senayan A,Jakarta Pusat,2BR,57.8,6800000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Parkir",1.75,3.6
117,Residence Permata II,Bekasi,3BR,115.0,16950000,"Furnished, Minimarket, Taman Bermain",0.98,3.4
